RI,Na,Al,K,Ba,Fe,Type
1.52101,13.64,1.1,0.06,0,0,1
1.51761,13.89,1.36,0.48,0,0,1
1.51618,13.53,1.54,0.39,0,0,1
1.51766,13.21,1.29,0.57,0,0,1
1.51742,13.27,1.24,0.55,0,0,1
1.51596,12.79,1.62,0.64,0,0.26,1
1.51743,13.3,1.14,0.58,0,0,1
1.51756,13.15,1.05,0.57,0,0,1
1.51918,14.04,1.37,0.56,0,0,1
1.51755,13,1.36,0.57,0,0.11,1
1.51571,12.72,1.56,0.67,0,0.24,1
1.51763,12.8,1.27,0.6,0,0,1
1.51589,12.88,1.4,0.69,0,0.24,1
1.51748,12.86,1.27,0.54,0,0.17,1
1.51763,12.61,1.31,0.58,0,0,1
1.51761,12.81,1.23,0.58,0,0,1
1.51784,12.68,1.16,0.61,0,0,1
1.52196,14.36,0.89,0.15,0,0,1
1.51911,13.9,1.18,0.06,0,0,1
1.51735,13.02,1.69,0.54,0,0.07,1
1.5175,12.82,1.49,0.54,0,0.19,1
1.51966,14.77,0.29,0.03,0,0,1
1.51736,12.78,1.29,0.59,0,0,1
1.51751,12.81,1.35,0.62,0,0,1
1.5172,13.38,1.15,0.5,0,0,1
1.51764,12.98,1.21,0.65,0,0,1
1.51793,13.21,1.41,0.59,0,0,1
1.51721,12.87,1.33,0.56,0,0,1
1.51768,12.56,1.43,0.57,0,0,1
1.51784,13.08,1.28,0.6,0,0,1
1.51768,12.65,1.3,0.61,0,0.14,1
1.51747,12.84,1.14,0.56,0,0,1
1.51775,12.85,1.23,0.61,0.09,0.22,1
1.51753,12.57,1.38,0.6,0,0.06,1
1.51783,12.69,1.34,0.57,0,0,1
1.51567,13.29,1.21,0.56,0,0,1
1.51909,13.89,1.32,0.51,0.11,0,1
1.51797,12.74,1.35,0.64,0,0,1
1.52213,14.21,0.47,0.11,0,0,1
1.52213,14.21,0.47,0.11,0,0,1
1.51793,12.79,1.12,0.64,0,0,1
1.51755,12.71,1.2,0.59,0,0,1
1.51779,13.21,1.33,0.59,0,0,1
1.5221,13.73,0.72,0.17,0,0,1
1.51786,12.73,1.19,0.62,0,0.3,1
1.519,13.49,1.35,0.55,0,0,1
1.51869,13.19,1.18,0.57,0,0.16,1
1.52667,13.99,0.71,0.02,0,0.1,1
1.52223,13.21,0.79,0.13,0,0,1
1.51898,13.58,1.23,0.59,0,0,1
1.5232,13.72,0.51,0.09,0,0.16,1
1.51926,13.2,1.28,0.6,0,0.11,1
1.51808,13.43,1.19,0.55,0,0,1
1.51837,13.14,1.28,0.55,0,0,1
1.51778,13.21,1.29,0.51,0,0.09,1
1.51769,12.45,1.29,0.56,0,0.24,1
1.51215,12.99,1.12,0.62,0,0.31,1
1.51824,12.87,1.29,0.6,0,0,1
1.51754,13.48,1.17,0.59,0,0,1
1.51754,13.39,1.19,0.57,0,0.11,1
1.51905,13.6,1.11,0.14,0,0,1
1.51977,13.81,1.32,0.12,0.69,0,1
1.52172,13.51,0.88,0.23,0,0.11,1
1.52227,14.17,0.78,0,0,0,1
1.52172,13.48,0.9,0.18,0,0.07,1
1.52099,13.69,1.12,0.09,0,0,1
1.52152,13.05,0.87,0.19,0,0.17,1
1.52152,13.05,0.87,0.19,0,0.17,1
1.52152,13.12,0.9,0.23,0,0.16,1
1.523,13.31,0.82,0.12,0,0.03,1
1.51574,14.86,1.74,0.16,0,0.12,1
1.51848,13.64,1.27,0.54,0,0.32,1
1.51593,13.09,1.52,0.67,0,0,2
1.51631,13.34,1.57,0.61,0,0,2
1.51596,13.02,1.54,0.72,0,0,2
1.5159,13.02,1.51,0.69,0,0,2
1.51645,13.44,1.54,0.66,0,0,2
1.51627,13,1.54,0.61,0,0,2
1.51613,13.92,1.25,0.37,0,0.14,2
1.5159,12.82,1.9,0.69,0,0,2
1.51592,12.86,2.12,0.69,0,0,2
1.51593,13.25,1.43,0.61,0,0,2
1.51646,13.41,1.25,0.68,0,0,2
1.51594,13.09,1.55,0.68,0,0.09,2
1.51409,14.25,2.08,1.1,0,0,2
1.51625,13.36,1.49,0.45,0,0,2
1.51569,13.24,1.47,0.38,0,0,2
1.51645,13.4,1.52,0.67,0,0.1,2
1.51618,13.01,1.48,0.6,0,0,2
1.5164,12.55,1.87,0.63,0,0.09,2
1.51841,12.93,1.11,0.64,0,0.22,2
1.51605,12.9,1.45,0.44,0,0,2
1.51588,13.12,1.58,0.07,0,0.19,2
1.5159,13.24,1.47,0.39,0,0,2
1.51629,12.71,1.49,0.67,0,0,2
1.5186,13.36,1.43,0.51,0,0,2
1.51841,13.02,1.06,0.64,0,0.15,2
1.51743,12.2,1.16,0.62,0,0.24,2
1.51689,12.67,1.71,0.73,0,0,2
1.51811,12.96,1.43,0.6,0.14,0,2
1.51655,12.75,1.44,0.57,0.11,0.22,2
1.5173,12.35,1.63,0.7,0,0,2
1.5182,12.62,0.83,0.35,0,0.2,2
1.52725,13.8,0.66,0.08,0,0,2
1.5241,13.83,1.17,0.08,0,0,2
1.52475,11.45,1.88,0.81,0,0.34,2
1.53125,10.73,2.1,0.58,3.15,0.28,2
1.53393,12.3,1,0.12,0,0.24,2
1.52222,14.43,1,0.1,0,0.08,2
1.51818,13.72,0.56,0,0,0,2
1.52664,11.23,0.77,0,0,0,2
1.52739,11.02,0.75,0,0,0,2
1.52777,12.64,0.67,0.06,0,0,2
1.51892,13.46,1.26,0.57,0,0.14,2
1.51847,13.1,1.19,0.6,0,0,2
1.51846,13.41,1.33,0.51,0,0,2
1.51829,13.24,1.41,0.55,0,0.1,2
1.51708,13.72,1.81,0.64,0,0,2
1.51673,13.3,1.53,0.65,0,0.29,2
1.51652,13.56,1.47,0.64,0,0,2
1.51844,13.25,1.32,0.58,0,0,2
1.51663,12.93,1.62,0.64,0,0.21,2
1.51687,13.23,1.48,0.56,0,0,2
1.51707,13.48,1.71,0.62,0,0,2
1.52177,13.2,1.15,0.54,0,0,2
1.51872,12.93,1.56,0.58,0,0.12,2
1.51667,12.94,1.26,0.56,0,0,2
1.52081,13.78,1.43,0.49,0,0.17,2
1.52068,13.55,1.67,0.53,0.27,0.17,2
1.5202,13.98,1.63,0.39,0,0.18,2
1.52177,13.75,1.36,0.33,0,0,2
1.52614,13.7,1.36,0.19,0,0.1,2
1.51813,13.43,1.18,0.58,0,0,2
1.518,13.71,1.54,0.54,0,0.15,2
1.51811,13.33,1.25,0.52,0,0,2
1.51789,13.19,1.3,0.55,0,0.28,2
1.51806,13,1.08,0.56,0,0.12,2
1.51711,12.89,1.57,0.61,0,0,2
1.51674,12.79,1.54,0.66,0,0,2
1.51674,12.87,1.64,0.65,0,0,2
1.5169,13.33,1.61,0.68,0,0,2
1.51851,13.2,1.07,0.57,0.09,0.17,2
1.51662,12.85,1.44,0.68,0.06,0.25,2
1.51709,13,1.79,0.66,0,0,2
1.5166,12.99,1.23,0.58,0,0.24,2
1.51839,12.85,1.24,0.62,0,0.35,2
1.51769,13.65,1.11,0.11,0,0,3
1.5161,13.33,1.34,0.56,0,0,3
1.5167,13.24,1.38,0.56,0,0.1,3
1.51643,12.16,1.35,0.57,0,0,3
1.51665,13.14,1.76,0.6,0,0.17,3
1.52127,14.32,0.83,0,0,0,3
1.51779,13.64,0.65,0.06,0,0,3
1.5161,13.42,1.22,0.59,0,0,3
1.51694,12.86,1.31,0.61,0,0,3
1.51646,13.04,1.26,0.52,0,0,3
1.51655,13.41,1.28,0.52,0,0,3
1.52121,14.03,0.58,0.11,0,0,3
1.51776,13.53,1.52,0.58,0,0,3
1.51796,13.5,1.63,0.57,0,0.09,3
1.51832,13.33,1.54,0.56,0,0,3
1.51934,13.64,0.75,0.16,0.15,0.24,3
1.52211,14.19,0.91,0.23,0,0.37,3
1.51514,14.01,3.5,1.68,2.2,0,5
1.51915,12.73,1.86,0.6,0,0,5
1.52171,11.56,1.56,0.47,0,0,5
1.52151,11.03,1.56,0.58,0,0,5
1.51969,12.64,1.65,0.38,0,0,5
1.51666,12.86,1.83,0.97,0,0,5
1.51994,13.27,1.76,0.47,0,0,5
1.52369,13.44,1.58,0.32,0,0,5
1.51316,13.02,3.04,6.21,0,0,5
1.51321,13,3.02,6.21,0,0,5
1.52043,13.38,1.4,0.33,0,0,5
1.52058,12.85,2.17,0.76,0.24,0.51,5
1.52119,12.97,1.51,0.13,0,0.28,5
1.51905,14,1.56,0,0,0,6
1.51937,13.79,1.19,0,0,0,6
1.51829,14.46,1.62,0,0,0,6
1.51852,14.09,1.66,0,0,0,6
1.51299,14.4,1.54,0,0,0,6
1.51888,14.99,1.74,0,0,0,6
1.51916,14.15,2.09,0,0,0,6
1.51969,14.56,0.56,0,0,0,6
1.51115,17.38,0.34,0,0,0,6
1.51131,13.69,1.81,1.76,1.19,0,7
1.51838,14.32,2.22,1.46,1.63,0,7
1.52315,13.44,1.23,0.6,0,0,7
1.52247,14.86,2.06,0.76,0,0,7
1.52365,15.79,1.31,0.31,1.68,0,7
1.51613,13.88,1.79,0,0.76,0,7
1.51602,14.85,2.38,0,0.64,0.09,7
1.51623,14.2,2.79,0.04,0.4,0.09,7
1.51719,14.75,2,0,1.59,0.08,7
1.51683,14.56,1.98,0,1.57,0.07,7
1.51545,14.14,2.68,0.08,0.61,0.05,7
1.51556,13.87,2.54,0.14,0.81,0.01,7
1.51727,14.7,2.34,0,0.66,0,7
1.51531,14.38,2.66,0.04,0.64,0,7
1.51609,15.01,2.51,0.05,0.53,0,7
1.51508,15.15,2.25,0,0.63,0,7
1.51653,11.95,1.19,2.7,0,0,7
1.51514,14.85,2.42,0,0.56,0,7
1.51658,14.8,1.99,0,1.71,0,7
1.51617,14.95,2.27,0,0.67,0,7
1.51732,14.95,1.8,0,1.55,0,7
1.51645,14.94,1.87,0,1.38,0,7
1.51831,14.39,1.82,1.41,2.88,0,7
1.5164,14.37,2.74,0,0.54,0,7
1.51623,14.14,2.88,0.08,1.06,0,7
1.51685,14.92,1.99,0,1.59,0,7
1.52065,14.36,2.02,0,1.64,0,7
1.51651,14.38,1.94,0,1.57,0,7
1.51711,14.23,2.08,0,1.67,0,7
